Date : 2022-10-02 18:49:04
Directory : c:\Users\yzc\Desktop\pet
Total : 1514 files,  80100 codes, 3015 comments, 3831 blanks, all 86946 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| pages\ApplyAdopt\PetInformation                                                                                                                      |          1 |        288 |          0 |          5 |        293 |
| pages\ApplyAdopt\Poster                                                                                                                              |          1 |        207 |          0 |          3 |        210 |
| pages\ApplyAdopt\Remind                                                                                                                              |          1 |         36 |          0 |          3 |         39 |
| pages\ApplyAdopt\UserInfo                                                                                                                            |          1 |        150 |          0 |          3 |        153 |
| pages\Chat                                                                                                                                           |          1 |        368 |          0 |          4 |        372 |
| pages\FoundPet                                                                                                                                       |          3 |        360 |          0 |          8 |        368 |
| pages\FoundPet\List                                                                                                                                  |          1 |        257 |          0 |          4 |        261 |
| pages\FoundPet\Search                                                                                                                                |          1 |         94 |          0 |          2 |         96 |
| pages\Home                                                                                                                                           |         14 |      2,303 |          0 |         40 |      2,343 |
| pages\Home\Daily                                                                                                                                     |          4 |        693 |          0 |         11 |        704 |
| pages\Home\Daily\CatDaily                                                                                                                            |          2 |        509 |          0 |          6 |        515 |
| pages\Home\Daily\CatDaily\TopicDetail                                                                                                                |          1 |        349 |          0 |          3 |        352 |
| pages\Home\Daily\Participation                                                                                                                       |          1 |        113 |          0 |          2 |        115 |
| pages\Home\Enlightenment                                                                                                                             |          1 |        455 |          0 |          4 |        459 |
| pages\Home\Found                                                                                                                                     |          1 |        142 |          0 |          3 |        145 |
| pages\Home\Knowledge                                                                                                                                 |          5 |        757 |          0 |         17 |        774 |
| pages\Home\Knowledge\PopularizationOfScience                                                                                                         |          4 |        617 |          0 |         15 |        632 |
| pages\Home\Knowledge\PopularizationOfScience\Encyclopedia                                                                                            |          2 |        275 |          0 |          7 |        282 |
| pages\Home\Knowledge\PopularizationOfScience\Encyclopedia\EncylopediaDetail                                                                          |          1 |        206 |          0 |          6 |        212 |
| pages\Home\Knowledge\PopularizationOfScience\Knowledge                                                                                               |          1 |        149 |          0 |          3 |        152 |
| pages\Home\Swiper                                                                                                                                    |          1 |         85 |          0 |          2 |         87 |
| pages\Home\WaitAdopt                                                                                                                                 |          1 |        156 |          0 |          1 |        157 |
| pages\Issue                                                                                                                                          |          5 |      1,378 |          0 |         18 |      1,396 |
| pages\Issue\Adoption                                                                                                                                 |          1 |        788 |          0 |          8 |        796 |
| pages\Issue\FoundPet                                                                                                                                 |          1 |        445 |          0 |          3 |        448 |
| pages\Issue\Interest                                                                                                                                 |          1 |         97 |          0 |          3 |        100 |
| pages\Issue\Notice                                                                                                                                   |          1 |         39 |          0 |          2 |         41 |
| pages\Message                                                                                                                                        |          5 |        621 |          0 |         16 |        637 |
| pages\Message\MyCollect                                                                                                                              |          1 |        174 |          0 |          4 |        178 |
| pages\Message\MyComment                                                                                                                              |          1 |        186 |          0 |          3 |        189 |
| pages\Message\News                                                                                                                                   |          1 |        123 |          0 |          4 |        127 |
| pages\Message\Received                                                                                                                               |          1 |        102 |          0 |          3 |        105 |
| pages\Mine                                                                                                                                           |         12 |      1,194 |          0 |         33 |      1,227 |
| pages\Mine\PersonalInformation                                                                                                                       |          3 |        359 |          0 |          9 |        368 |
| pages\Mine\PersonalInformation\Collect                                                                                                               |          1 |         26 |          0 |          3 |         29 |
| pages\Mine\PersonalInformation\Footprint                                                                                                             |          1 |         98 |          0 |          3 |        101 |
| pages\Mine\Request                                                                                                                                   |          7 |        703 |          0 |         20 |        723 |
| pages\Mine\Request\Apply                                                                                                                             |          2 |        282 |          0 |          4 |        286 |
| pages\Mine\Request\Apply\ApplyDetail                                                                                                                 |          1 |        246 |          0 |          3 |        249 |
| pages\Mine\Request\Found                                                                                                                             |          1 |         30 |          0 |          3 |         33 |
| pages\Mine\Request\Issue                                                                                                                             |          1 |         30 |          0 |          3 |         33 |
| pages\Mine\Request\Receive                                                                                                                           |          2 |        210 |          0 |          6 |        216 |
| pages\Mine\Request\Receive\ProposerDetail                                                                                                            |          1 |        175 |          0 |          3 |        178 |
| pages\Mine\Safe                                                                                                                                      |          1 |         85 |          0 |          2 |         87 |
| static                                                                                                                                               |          1 |        119 |          0 |         41 |        160 |
| types                                                                                                                                                |          1 |          9 |          0 |          1 |         10 |
| uniCloud-aliyun                                                                                                                                      |         41 |      1,111 |         21 |         42 |      1,174 |
| uniCloud-aliyun\cloudfunctions                                                                                                                       |         29 |        467 |         13 |         29 |        509 |
| uniCloud-aliyun\cloudfunctions\adoption                                                                                                              |          4 |         67 |          1 |          5 |         73 |
| uniCloud-aliyun\cloudfunctions\apply                                                                                                                 |          2 |         36 |          1 |          1 |         38 |
| uniCloud-aliyun\cloudfunctions\collect                                                                                                               |          3 |         55 |          1 |          3 |         59 |
| uniCloud-aliyun\cloudfunctions\comment                                                                                                               |          3 |         58 |          1 |          3 |         62 |
| uniCloud-aliyun\cloudfunctions\footprint                                                                                                             |          4 |         51 |          1 |          5 |         57 |
| uniCloud-aliyun\cloudfunctions\foundPet                                                                                                              |          3 |         63 |          1 |          3 |         67 |
| uniCloud-aliyun\cloudfunctions\push                                                                                                                  |          2 |         30 |          0 |          1 |         31 |
| uniCloud-aliyun\cloudfunctions\token                                                                                                                 |          2 |         37 |          5 |          2 |         44 |
| uniCloud-aliyun\cloudfunctions\topic                                                                                                                 |          4 |         52 |          1 |          5 |         58 |
| uniCloud-aliyun\cloudfunctions\uploadPicture                                                                                                         |          2 |         18 |          1 |          1 |         20 |
| uniCloud-aliyun\database                                                                                                                             |         12 |        644 |          8 |         13 |        665 |
| uni_modules                                                                                                                                          |        368 |     40,488 |      2,924 |      2,818 |     46,230 |
| uni_modules\daxiang-query-first                                                                                                                      |          5 |        330 |          6 |          8 |        344 |
| uni_modules\daxiang-query-first\components                                                                                                           |          2 |        193 |          6 |          7 |        206 |
| uni_modules\daxiang-query-first\components\daxiang-query-first                                                                                       |          2 |        193 |          6 |          7 |        206 |
| uni_modules\lgd-tab                                                                                                                                  |          5 |        317 |          0 |         23 |        340 |
| uni_modules\lgd-tab\components                                                                                                                       |          2 |        182 |          0 |         14 |        196 |
| uni_modules\lgd-tab\components\lgd-tab                                                                                                               |          2 |        182 |          0 |         14 |        196 |
| uni_modules\sakura-canvas                                                                                                                            |         16 |      3,791 |        826 |        267 |      4,884 |
| uni_modules\sakura-canvas\js_sdk                                                                                                                     |         13 |      3,159 |        826 |         62 |      4,047 |
| uni_modules\sakura-canvas\js_sdk\methods                                                                                                             |          8 |      1,177 |        245 |          3 |      1,425 |
| uni_modules\sakura-canvas\js_sdk\plugins                                                                                                             |          2 |        902 |        282 |         52 |      1,236 |
| uni_modules\sakura-canvas\js_sdk\utils                                                                                                               |          2 |        685 |        185 |          7 |        877 |
| uni_modules\uni-badge                                                                                                                                |          4 |        368 |          0 |         29 |        397 |
| uni_modules\uni-badge\components                                                                                                                     |          1 |        246 |          0 |         23 |        269 |
| uni_modules\uni-badge\components\uni-badge                                                                                                           |          1 |        246 |          0 |         23 |        269 |
| uni_modules\uni-captcha                                                                                                                              |         11 |        671 |          9 |         56 |        736 |
| uni_modules\uni-captcha\components                                                                                                                   |          2 |        288 |          0 |         20 |        308 |
| uni_modules\uni-captcha\components\uni-captcha                                                                                                       |          1 |        155 |          0 |         12 |        167 |
| uni_modules\uni-captcha\components\uni-popup-captcha                                                                                                 |          1 |        133 |          0 |          8 |        141 |
| uni_modules\uni-captcha\uniCloud                                                                                                                     |          6 |        264 |          9 |         35 |        308 |
| uni_modules\uni-captcha\uniCloud\cloudfunctions                                                                                                      |          5 |        219 |          9 |         35 |        263 |
| uni_modules\uni-captcha\uniCloud\cloudfunctions\common                                                                                               |          3 |        186 |          0 |         34 |        220 |
| uni_modules\uni-captcha\uniCloud\cloudfunctions\common\uni-captcha                                                                                   |          3 |        186 |          0 |         34 |        220 |
| uni_modules\uni-captcha\uniCloud\cloudfunctions\uni-captcha-co                                                                                       |          2 |         33 |          9 |          1 |         43 |
| uni_modules\uni-captcha\uniCloud\database                                                                                                            |          1 |         45 |          0 |          0 |         45 |
| uni_modules\uni-collapse                                                                                                                             |          5 |        652 |          1 |         36 |        689 |
| uni_modules\uni-collapse\components                                                                                                                  |          2 |        520 |          1 |         30 |        551 |
| uni_modules\uni-collapse\components\uni-collapse                                                                                                     |          1 |        145 |          0 |          3 |        148 |
| uni_modules\uni-collapse\components\uni-collapse-item                                                                                                |          1 |        375 |          1 |         27 |        403 |
| uni_modules\uni-config-center                                                                                                                        |          6 |        235 |          0 |         21 |        256 |
| uni_modules\uni-config-center\uniCloud                                                                                                               |          3 |         75 |          0 |          2 |         77 |
| uni_modules\uni-config-center\uniCloud\cloudfunctions                                                                                                |          3 |         75 |          0 |          2 |         77 |
| uni_modules\uni-config-center\uniCloud\cloudfunctions\common                                                                                         |          3 |         75 |          0 |          2 |         77 |
| uni_modules\uni-config-center\uniCloud\cloudfunctions\common\uni-config-center                                                                       |          3 |         75 |          0 |          2 |         77 |
| uni_modules\uni-config-center\uniCloud\cloudfunctions\common\uni-config-center\uni-id                                                                |          1 |         65 |          0 |          1 |         66 |
| uni_modules\uni-data-checkbox                                                                                                                        |          4 |        903 |          1 |         64 |        968 |
| uni_modules\uni-data-checkbox\components                                                                                                             |          1 |        762 |          1 |         55 |        818 |
| uni_modules\uni-data-checkbox\components\uni-data-checkbox                                                                                           |          1 |        762 |          1 |         55 |        818 |
| uni_modules\uni-data-picker                                                                                                                          |          7 |      1,554 |          4 |        121 |      1,679 |
| uni_modules\uni-data-picker\components                                                                                                               |          4 |      1,384 |          4 |        111 |      1,499 |
| uni_modules\uni-data-picker\components\uni-data-picker                                                                                               |          2 |        558 |          3 |         40 |        601 |
| uni_modules\uni-data-picker\components\uni-data-pickerview                                                                                           |          2 |        826 |          1 |         71 |        898 |
| uni_modules\uni-data-select                                                                                                                          |          4 |        520 |          0 |         39 |        559 |
| uni_modules\uni-data-select\components                                                                                                               |          1 |        407 |          0 |         34 |        441 |
| uni_modules\uni-data-select\components\uni-data-select                                                                                               |          1 |        407 |          0 |         34 |        441 |
| uni_modules\uni-dateformat                                                                                                                           |          5 |        380 |          3 |         17 |        400 |
| uni_modules\uni-dateformat\components                                                                                                                |          2 |        276 |          3 |         11 |        290 |
| uni_modules\uni-dateformat\components\uni-dateformat                                                                                                 |          2 |        276 |          3 |         11 |        290 |
| uni_modules\uni-easyinput                                                                                                                            |          5 |        743 |         13 |         44 |        800 |
| uni_modules\uni-easyinput\components                                                                                                                 |          2 |        600 |         13 |         38 |        651 |
| uni_modules\uni-easyinput\components\uni-easyinput                                                                                                   |          2 |        600 |         13 |         38 |        651 |
| uni_modules\uni-file-picker                                                                                                                          |          8 |      1,712 |         25 |         99 |      1,836 |
| uni_modules\uni-file-picker\components                                                                                                               |          5 |      1,557 |         25 |         92 |      1,674 |
| uni_modules\uni-file-picker\components\uni-file-picker                                                                                               |          5 |      1,557 |         25 |         92 |      1,674 |
| uni_modules\uni-forms                                                                                                                                |          7 |      1,729 |        116 |        169 |      2,014 |
| uni_modules\uni-forms\components                                                                                                                     |          4 |      1,539 |        116 |        156 |      1,811 |
| uni_modules\uni-forms\components\uni-forms                                                                                                           |          3 |        958 |        112 |        109 |      1,179 |
| uni_modules\uni-forms\components\uni-forms-item                                                                                                      |          1 |        581 |          4 |         47 |        632 |
| uni_modules\uni-icons                                                                                                                                |          6 |      1,868 |          4 |        177 |      2,049 |
| uni_modules\uni-icons\components                                                                                                                     |          3 |      1,754 |          4 |        173 |      1,931 |
| uni_modules\uni-icons\components\uni-icons                                                                                                           |          3 |      1,754 |          4 |        173 |      1,931 |
| uni_modules\uni-id                                                                                                                                   |          2 |         89 |          5 |          3 |         97 |
| uni_modules\uni-id-common                                                                                                                            |          5 |        132 |          0 |          4 |        136 |
| uni_modules\uni-id-common\uniCloud                                                                                                                   |          2 |         17 |          0 |          1 |         18 |
| uni_modules\uni-id-common\uniCloud\cloudfunctions                                                                                                    |          2 |         17 |          0 |          1 |         18 |
| uni_modules\uni-id-common\uniCloud\cloudfunctions\common                                                                                             |          2 |         17 |          0 |          1 |         18 |
| uni_modules\uni-id-common\uniCloud\cloudfunctions\common\uni-id-common                                                                               |          2 |         17 |          0 |          1 |         18 |
| uni_modules\uni-id-pages                                                                                                                             |        147 |     12,025 |      1,048 |        717 |     13,790 |
| uni_modules\uni-id-pages\common                                                                                                                      |          4 |        225 |         29 |         20 |        274 |
| uni_modules\uni-id-pages\components                                                                                                                  |          7 |      1,539 |          3 |         72 |      1,614 |
| uni_modules\uni-id-pages\components\cloud-image                                                                                                      |          1 |         89 |          0 |          2 |         91 |
| uni_modules\uni-id-pages\components\uni-id-pages-agreements                                                                                          |          1 |        158 |          1 |         10 |        169 |
| uni_modules\uni-id-pages\components\uni-id-pages-avatar                                                                                              |          1 |        213 |          0 |          4 |        217 |
| uni_modules\uni-id-pages\components\uni-id-pages-bind-mobile                                                                                         |          1 |        153 |          0 |         13 |        166 |
| uni_modules\uni-id-pages\components\uni-id-pages-fab-login                                                                                           |          1 |        522 |          2 |         28 |        552 |
| uni_modules\uni-id-pages\components\uni-id-pages-sms-form                                                                                            |          1 |        231 |          0 |         11 |        242 |
| uni_modules\uni-id-pages\components\uni-id-pages-user-profile                                                                                        |          1 |        173 |          0 |          4 |        177 |
| uni_modules\uni-id-pages\pages                                                                                                                       |         18 |      2,926 |         61 |        129 |      3,116 |
| uni_modules\uni-id-pages\pages\common                                                                                                                |          1 |         36 |          1 |          4 |         41 |
| uni_modules\uni-id-pages\pages\common\webview                                                                                                        |          1 |         36 |          1 |          4 |         41 |
| uni_modules\uni-id-pages\pages\login                                                                                                                 |          3 |        473 |          9 |         28 |        510 |
| uni_modules\uni-id-pages\pages\register                                                                                                              |          2 |        177 |          3 |          5 |        185 |
| uni_modules\uni-id-pages\pages\retrieve                                                                                                              |          1 |        197 |          1 |          4 |        202 |
| uni_modules\uni-id-pages\pages\userinfo                                                                                                              |         11 |      2,043 |         47 |         88 |      2,178 |
| uni_modules\uni-id-pages\pages\userinfo\bind-mobile                                                                                                  |          1 |        102 |          2 |          8 |        112 |
| uni_modules\uni-id-pages\pages\userinfo\change_pwd                                                                                                   |          1 |        142 |          1 |          4 |        147 |
| uni_modules\uni-id-pages\pages\userinfo\cropImage                                                                                                    |          7 |      1,418 |         42 |         64 |      1,524 |
| uni_modules\uni-id-pages\pages\userinfo\cropImage\limeClipper                                                                                        |          6 |      1,381 |         41 |         63 |      1,485 |
| uni_modules\uni-id-pages\pages\userinfo\cropImage\limeClipper\images                                                                                 |          2 |         32 |          2 |          2 |         36 |
| uni_modules\uni-id-pages\pages\userinfo\deactivate                                                                                                   |          1 |        101 |          1 |          8 |        110 |
| uni_modules\uni-id-pages\static                                                                                                                      |          2 |         32 |          2 |          2 |         36 |
| uni_modules\uni-id-pages\static\limeClipper                                                                                                          |          2 |         32 |          2 |          2 |         36 |
| uni_modules\uni-id-pages\uniCloud                                                                                                                    |        111 |      7,063 |        926 |        477 |      8,466 |
| uni_modules\uni-id-pages\uniCloud\cloudfunctions                                                                                                     |        105 |      6,256 |        926 |        474 |      7,656 |
| uni_modules\uni-id-pages\uniCloud\cloudfunctions\uni-id-co                                                                                           |        105 |      6,256 |        926 |        474 |      7,656 |
| uni_modules\uni-id-pages\uniCloud\cloudfunctions\uni-id-co\common                                                                                    |          4 |        656 |         33 |         61 |        750 |
| uni_modules\uni-id-pages\uniCloud\cloudfunctions\uni-id-co\config                                                                                    |          1 |         59 |          6 |          2 |         67 |
| uni_modules\uni-id-pages\uniCloud\cloudfunctions\uni-id-co\lang                                                                                      |          3 |        103 |          0 |         10 |        113 |
| uni_modules\uni-id-pages\uniCloud\cloudfunctions\uni-id-co\lib                                                                                       |         30 |      2,515 |        166 |        227 |      2,908 |
| uni_modules\uni-id-pages\uniCloud\cloudfunctions\uni-id-co\lib\third-party                                                                           |         13 |        790 |         84 |         98 |        972 |
| uni_modules\uni-id-pages\uniCloud\cloudfunctions\uni-id-co\lib\third-party\alipay                                                                    |          3 |        182 |         45 |         33 |        260 |
| uni_modules\uni-id-pages\uniCloud\cloudfunctions\uni-id-co\lib\third-party\alipay\account                                                            |          2 |         22 |          3 |          3 |         28 |
| uni_modules\uni-id-pages\uniCloud\cloudfunctions\uni-id-co\lib\third-party\apple                                                                     |          2 |         99 |         23 |         20 |        142 |
